TRIAL,TRIP.CODE,HAUL,MESH,RIG (port/starboard), CODEND (top/bottom),SPECIES,DISCARD,CATEGORY,SEX,RF,LENGTH.CM,N.AT.LENGTH,N.RAISED.HAUL,POSITION,CONDITION,LIGHTRIG,LIGHTS,YES,NO
C5979R,C5979R_2,1,87,P,U,HAD,N,1,U,1.00,35,1,1,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,HAD,N,1,U,1.00,37,1,1,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,HAD,N,1,U,1.00,39,1,1,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,HAD,N,1,U,1.00,42,1,1,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,HAD,N,1,U,1.00,43,1,1,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,WHG,N,1,U,1.00,31,1,1,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,WHG,N,1,U,1.00,33,1,1,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,WHG,N,1,U,1.00,35,2,2,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,WHG,N,1,U,1.00,43,1,1,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,NSQ,N,1,U,1.00,9,2,2,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,NSQ,N,1,U,1.00,10,1,1,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,NSQ,N,1,U,1.00,11,2,2,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,NSQ,N,1,U,1.00,12,2,2,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,NSQ,N,1,U,1.00,13,2,2,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,NSQ,N,1,U,1.00,14,2,2,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,NSQ,N,1,U,1.00,16,9,9,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,NSQ,N,1,U,1.00,17,5,5,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,NSQ,N,1,U,1.00,18,3,3,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,NSQ,N,1,U,1.00,19,1,1,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,NSQ,N,1,U,1.00,21,1,1,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,TUB,N,1,U,1.00,38,1,1,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,CTC,N,1,U,1.00,15,1,1,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,GUG,Y,1,U,1.00,16,1,1,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,GUG,Y,1,U,1.00,17,1,1,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,GUG,Y,1,U,1.00,18,1,1,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,GUG,Y,1,U,1.00,20,1,1,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,GUG,Y,1,U,1.00,29,1,1,F,M,S,NO,,
C5979R,C5979R_2,1,87,P,U,HAD,Y,1,U,1.00,32,1,1,F,M,S,NO,,
