"HAUL","CONDITION","LIGHTS","CODEND","SPECIES_NAME","SPECIES_CODE","LENGTH.CM","RF","N.AT.LENGTH","N.RAISED.HAUL","Q"
7,"Night","NO","Upper","Haddock","HAD",26,1,0,0,1
7,"Night","NO","Upper","Haddock","HAD",27,1,0,0,1
7,"Night","NO","Upper","Haddock","HAD",28,16,1,16,0.0625
7,"Night","NO","Upper","Haddock","HAD",29,16,3,48,0.0625
7,"Night","NO","Upper","Haddock","HAD",30,16,2,32,0.0625
7,"Night","NO","Upper","Haddock","HAD",31,16,5,80,0.0625
7,"Night","NO","Upper","Haddock","HAD",32,16,13,208,0.0625
7,"Night","NO","Upper","Haddock","HAD",33,16,16,256,0.0625
7,"Night","NO","Upper","Haddock","HAD",34,16,5,80,0.0625
7,"Night","NO","Upper","Haddock","HAD",35,16,9,144,0.0625
7,"Night","NO","Upper","Haddock","HAD",36,16,13,208,0.0625
7,"Night","NO","Upper","Haddock","HAD",37,16,10,160,0.0625
7,"Night","NO","Upper","Haddock","HAD",38,16,3,48,0.0625
7,"Night","NO","Upper","Haddock","HAD",39,13,5,65,0.0769230769230769
7,"Night","NO","Upper","Haddock","HAD",40,4.75,8,38,0.210526315789474
7,"Night","NO","Upper","Haddock","HAD",41,1,8,8,1
7,"Night","NO","Upper","Haddock","HAD",42,3.14285714285714,14,44,0.318181818181818
7,"Night","NO","Upper","Haddock","HAD",43,1,17,17,1
7,"Night","NO","Upper","Haddock","HAD",44,1,18,18,1
7,"Night","NO","Upper","Haddock","HAD",45,1,10,10,1
7,"Night","NO","Upper","Haddock","HAD",46,1,12,12,1
7,"Night","NO","Upper","Haddock","HAD",47,1,5,5,1
7,"Night","NO","Upper","Haddock","HAD",48,1,2,2,1
7,"Night","NO","Upper","Haddock","HAD",49,1,4,4,1
7,"Night","NO","Upper","Haddock","HAD",50,1,0,0,1
7,"Night","NO","Upper","Haddock","HAD",51,1,0,0,1
7,"Night","NO","Upper","Haddock","HAD",52,1,1,1,1
7,"Night","NO","Upper","Haddock","HAD",53,1,3,3,1
7,"Night","NO","Upper","Haddock","HAD",54,1,0,0,1
7,"Night","NO","Upper","Haddock","HAD",55,1,0,0,1
7,"Night","NO","Upper","Haddock","HAD",56,1,0,0,1
7,"Night","NO","Upper","Haddock","HAD",57,1,0,0,1
7,"Night","NO","Upper","Grey gurnard","GUG",19,1,0,0,1
7,"Night","NO","Upper","Grey gurnard","GUG",20,16,1,16,0.0625
7,"Night","NO","Upper","Grey gurnard","GUG",21,1,0,0,1
7,"Night","NO","Upper","Grey gurnard","GUG",22,1,0,0,1
7,"Night","NO","Upper","Grey gurnard","GUG",23,1,0,0,1
7,"Night","NO","Upper","Grey gurnard","GUG",24,1,0,0,1
7,"Night","NO","Upper","Grey gurnard","GUG",25,1,0,0,1
7,"Night","NO","Upper","Grey gurnard","GUG",26,1,0,0,1
7,"Night","NO","Upper","Grey gurnard","GUG",27,1,0,0,1
7,"Night","NO","Upper","Grey gurnard","GUG",28,1,0,0,1
7,"Night","NO","Upper","Grey gurnard","GUG",29,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",23,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",24,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",25,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",26,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",27,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",28,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",29,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",30,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",31,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",32,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",33,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",34,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",35,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",36,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",37,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",38,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",39,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",40,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",41,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",42,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",43,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",44,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",45,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",46,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",47,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",48,1,0,0,1
7,"Night","NO","Upper","Megrim","MEG",49,1,0,0,1
7,"Night","NO","Upper","Whiting","WHG",25,1,0,0,1
7,"Night","NO","Upper","Whiting","WHG",26,1,0,0,1
7,"Night","NO","Upper","Whiting","WHG",27,1,0,0,1
7,"Night","NO","Upper","Whiting","WHG",28,1,0,0,1
7,"Night","NO","Upper","Whiting","WHG",29,1,0,0,1
7,"Night","NO","Upper","Whiting","WHG",30,1,0,0,1
7,"Night","NO","Upper","Whiting","WHG",31,1,0,0,1
7,"Night","NO","Upper","Whiting","WHG",32,1,0,0,1
7,"Night","NO","Upper","Whiting","WHG",33,1,0,0,1
7,"Night","NO","Upper","Whiting","WHG",34,1,0,0,1
7,"Night","NO","Upper","Whiting","WHG",35,1,0,0,1
7,"Night","NO","Upper","Whiting","WHG",36,1,0,0,1
7,"Night","NO","Upper","Whiting","WHG",37,1,0,0,1
7,"Night","NO","Upper","Whiting","WHG",38,1,0,0,1
7,"Night","NO","Upper","Whiting","WHG",39,1,0,0,1
7,"Night","NO","Upper","Whiting","WHG",40,1,0,0,1
7,"Night","NO","Upper","Whiting","WHG",41,1,1,1,1
7,"Night","NO","Upper","Whiting","WHG",42,1,0,0,1
7,"Night","NO","Upper","Whiting","WHG",43,1,0,0,1
7,"Night","NO","Upper","Whiting","WHG",44,1,0,0,1
7,"Night","NO","Upper","Whiting","WHG",45,1,0,0,1
7,"Night","NO","Upper","Northern squid","NSQ",10,1,0,0,1
7,"Night","NO","Upper","Northern squid","NSQ",11,1,0,0,1
7,"Night","NO","Upper","Northern squid","NSQ",12,1,0,0,1
7,"Night","NO","Upper","Northern squid","NSQ",13,1,0,0,1
7,"Night","NO","Upper","Northern squid","NSQ",14,1,0,0,1
7,"Night","NO","Upper","Northern squid","NSQ",15,1,0,0,1
7,"Night","NO","Upper","Northern squid","NSQ",16,1,0,0,1
7,"Night","NO","Upper","Northern squid","NSQ",17,1,0,0,1
7,"Night","NO","Upper","Northern squid","NSQ",18,1,0,0,1
7,"Night","NO","Upper","Northern squid","NSQ",19,1,0,0,1
7,"Night","NO","Upper","Northern squid","NSQ",20,1,0,0,1
7,"Night","NO","Upper","Northern squid","NSQ",21,1,0,0,1
7,"Night","NO","Lower","Haddock","HAD",26,1,0,0,1
7,"Night","NO","Lower","Haddock","HAD",27,1,0,0,1
7,"Night","NO","Lower","Haddock","HAD",28,13,2,26,0.0769230769230769
7,"Night","NO","Lower","Haddock","HAD",29,13,2,26,0.0769230769230769
7,"Night","NO","Lower","Haddock","HAD",30,13,8,104,0.0769230769230769
7,"Night","NO","Lower","Haddock","HAD",31,13,3,39,0.0769230769230769
7,"Night","NO","Lower","Haddock","HAD",32,13,9,117,0.0769230769230769
7,"Night","NO","Lower","Haddock","HAD",33,13,9,117,0.0769230769230769
7,"Night","NO","Lower","Haddock","HAD",34,13,8,104,0.0769230769230769
7,"Night","NO","Lower","Haddock","HAD",35,13,7,91,0.0769230769230769
7,"Night","NO","Lower","Haddock","HAD",36,13,9,117,0.0769230769230769
7,"Night","NO","Lower","Haddock","HAD",37,13,7,91,0.0769230769230769
7,"Night","NO","Lower","Haddock","HAD",38,1,0,0,1
7,"Night","NO","Lower","Haddock","HAD",39,13,3,39,0.0769230769230769
7,"Night","NO","Lower","Haddock","HAD",40,7,2,14,0.142857142857143
7,"Night","NO","Lower","Haddock","HAD",41,7,2,14,0.142857142857143
7,"Night","NO","Lower","Haddock","HAD",42,4,4,16,0.25
7,"Night","NO","Lower","Haddock","HAD",43,4,4,16,0.25
7,"Night","NO","Lower","Haddock","HAD",44,1,5,5,1
7,"Night","NO","Lower","Haddock","HAD",45,1,5,5,1
7,"Night","NO","Lower","Haddock","HAD",46,1,4,4,1
7,"Night","NO","Lower","Haddock","HAD",47,1,5,5,1
7,"Night","NO","Lower","Haddock","HAD",48,1,4,4,1
7,"Night","NO","Lower","Haddock","HAD",49,1,2,2,1
7,"Night","NO","Lower","Haddock","HAD",50,1,3,3,1
7,"Night","NO","Lower","Haddock","HAD",51,1,1,1,1
7,"Night","NO","Lower","Haddock","HAD",52,1,0,0,1
7,"Night","NO","Lower","Haddock","HAD",53,1,0,0,1
7,"Night","NO","Lower","Haddock","HAD",54,1,0,0,1
7,"Night","NO","Lower","Haddock","HAD",55,1,1,1,1
7,"Night","NO","Lower","Haddock","HAD",56,1,0,0,1
7,"Night","NO","Lower","Haddock","HAD",57,1,1,1,1
7,"Night","NO","Lower","Grey gurnard","GUG",19,1,0,0,1
7,"Night","NO","Lower","Grey gurnard","GUG",20,1,0,0,1
7,"Night","NO","Lower","Grey gurnard","GUG",21,1,0,0,1
7,"Night","NO","Lower","Grey gurnard","GUG",22,1,0,0,1
7,"Night","NO","Lower","Grey gurnard","GUG",23,1,0,0,1
7,"Night","NO","Lower","Grey gurnard","GUG",24,1,0,0,1
7,"Night","NO","Lower","Grey gurnard","GUG",25,1,0,0,1
7,"Night","NO","Lower","Grey gurnard","GUG",26,13,1,13,0.0769230769230769
7,"Night","NO","Lower","Grey gurnard","GUG",27,1,0,0,1
7,"Night","NO","Lower","Grey gurnard","GUG",28,1,0,0,1
7,"Night","NO","Lower","Grey gurnard","GUG",29,13,1,13,0.0769230769230769
7,"Night","NO","Lower","Megrim","MEG",23,13,1,13,0.0769230769230769
7,"Night","NO","Lower","Megrim","MEG",24,1,0,0,1
7,"Night","NO","Lower","Megrim","MEG",25,1,0,0,1
7,"Night","NO","Lower","Megrim","MEG",26,1,0,0,1
7,"Night","NO","Lower","Megrim","MEG",27,1,0,0,1
7,"Night","NO","Lower","Megrim","MEG",28,1,0,0,1
7,"Night","NO","Lower","Megrim","MEG",29,1,0,0,1
7,"Night","NO","Lower","Megrim","MEG",30,1,1,1,1
7,"Night","NO","Lower","Megrim","MEG",31,1,0,0,1
7,"Night","NO","Lower","Megrim","MEG",32,1,5,5,1
7,"Night","NO","Lower","Megrim","MEG",33,1,5,5,1
7,"Night","NO","Lower","Megrim","MEG",34,1,2,2,1
7,"Night","NO","Lower","Megrim","MEG",35,1,3,3,1
7,"Night","NO","Lower","Megrim","MEG",36,1,2,2,1
7,"Night","NO","Lower","Megrim","MEG",37,1,1,1,1
7,"Night","NO","Lower","Megrim","MEG",38,1,1,1,1
7,"Night","NO","Lower","Megrim","MEG",39,1,0,0,1
7,"Night","NO","Lower","Megrim","MEG",40,1,0,0,1
7,"Night","NO","Lower","Megrim","MEG",41,1,1,1,1
7,"Night","NO","Lower","Megrim","MEG",42,1,1,1,1
