"Species","Modnames","K","BIC","Delta_BIC","ModelLik","BICWt","LL","Cum.Wt"
"Haddock","saturated",64.2537859349874,3438.06348494284,0,1,1,-1495.66217347353,1
"Haddock","no time of day",71.3227623733005,3568.71974046137,130.656255518534,4.24966407042959e-29,4.24966407042959e-29,-1536.41596374738,1
"Haddock","no interaction",72.9904907665036,3575.434414767,137.370929824165,1.48006777069649e-30,1.48006777069649e-30,-1533.97566941475,1
"Haddock","no length",24.1462654363822,3716.00869312015,277.945208177312,4.41534769460756e-61,4.41534769460756e-61,-1774.06313087995,1
"Haddock","no length or time of day",24.8978739704894,3810.8707467332,372.80726179036,1.11155689126664e-81,1.11155689126664e-81,-1818.88129259416,1
"Haddock","no lights",76.3848500520417,3974.34084373643,536.277358793593,3.53876035462002e-117,3.53876035462002e-117,-1721.62885438211,1
"Haddock","no length or lights",27.7329980627592,4019.7719710835,581.708486140665,4.82622090414627e-127,4.82622090414627e-127,-1913.47598052561,1
"Grey gurnard","saturated",26.3849859027566,547.572262344852,0,1,0.547581141482822,-198.716104180447,0.547581141482822
"Grey gurnard","no lights",24.9846145891254,548.197892044707,0.625629699855608,0.731385316077585,0.400492806241539,-203.013227102417,0.94807394772436
"Grey gurnard","no time of day",25.9490024486086,552.284740402753,4.71247805790119,0.0947760035426399,0.0518975522050588,-202.312794494517,0.999971499929419
"Grey gurnard","no interaction",29.0272182702842,567.522070189296,19.9498078444448,4.65537070180726e-05,2.54919320292131e-05,-201.173382136128,0.999996991861449
"Grey gurnard","no length or lights",9.81708810610989,572.778692362649,25.2064300177974,3.36119158354438e-06,1.84052512405969e-06,-258.457966122057,0.999998832386573
"Grey gurnard","no length or time of day",9.08269894407386,573.726804005839,26.1545416609869,2.09224934207116e-06,1.14567628299801e-06,-261.021491099324,0.999999978062856
"Grey gurnard","no length",11.7361754197583,581.637942182489,34.0656798376373,4.00619064162382e-08,2.19371444453817e-08,-257.427442712531,1
"Whiting","no length",4.00701605624828,1120.33817955181,0,1,0.994749288163376,-547.420711887282,0.994749288163376
"Whiting","no length or lights",2.00454283035551,1130.82792864309,10.4897490912749,0.00527448336005977,0.00524678856784903,-559.036483139391,0.999996076731225
"Whiting","no length or time of day",2.00445770054981,1145.22482122225,24.8866416704382,3.94397746406732e-06,3.92326877491337e-06,-566.235200270646,1
"Whiting","saturated",37.3411671560398,1195.07604382952,74.7378642777048,5.90036634906806e-17,5.86938522563859e-17,-478.736573898316,1
"Whiting","no time of day",38.3610031560064,1204.64937661572,84.3111970639065,4.92103185398093e-19,4.89519293377683e-19,-480.278617727022,1
"Whiting","no lights",35.8065095969566,1206.27025066717,85.932071115358,2.18820420385861e-19,2.17671457414446e-19,-489.216211906021,1
"Whiting","no interaction",39.2901161658587,1213.98331267802,93.6451331262133,4.62612872467757e-21,4.60183825582516e-21,-481.989599661648,1
"Northern squid","no length",4.00019580639312,260.03819491512,0,1,0.946498160565367,-119.666291230808,0.946498160565367
"Northern squid","no length or time of day",2.00033531045523,266.623934399582,6.58573948446207,0.0371470937052571,0.0351596558623752,-128.134949658656,0.981657816427742
"Northern squid","no length or lights",2.00041183229903,267.943437868437,7.90524295331642,0.019204292126849,0.0181768271730225,-128.794503348822,0.999834643600764
"Northern squid","saturated",23.1561758370402,277.346784342688,17.3085894275681,0.000174376341228713,0.000165046886219096,-78.7434754881802,0.999999690486983
"Northern squid","no interaction",21.4575358110697,291.661982432713,31.6237875175922,1.35825650020988e-07,1.2855872790246e-07,-90.2972820912753,0.999999819045711
"Northern squid","no time of day",21.3158252938019,291.78932710592,31.7511321907997,1.27446891624735e-07,1.20628248492586e-07,-90.7277118559085,0.99999993967396
"Northern squid","no lights",21.0181984383096,293.175226374657,33.1370314595365,6.37360353798695e-08,6.03260402487756e-08,-92.1909420745085,1
