"Species","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"Haddock","saturated",133.396316732284,4425.68701082491,0,1,0.999991677899404,-2065.69456289015,0.999991677899404
"Haddock","no interaction",129.179344632958,4450.10740393052,24.4203931056054,4.97942292178082e-06,4.97938148252235e-06,-2083.01595633105,0.999996657280887
"Haddock","no lights",128.333212469175,4451.0751923493,25.3881815243876,3.06920876088766e-06,3.0691832186236e-06,-2084.52144042818,0.999999726464105
"Haddock","no time of day",131.511946713765,4455.91066014505,30.2236493201381,2.73538170960109e-07,2.73535894547933e-07,-2083.09442621489,1
"Haddock","no length",40.9326539653968,7929.29487756477,3503.60786673986,0,0,-3922.48532062281,1
"Haddock","no length or lights",38.9352509739905,7934.06909355951,3508.3820827346,0,0,-3926.98712341141,1
"Haddock","no length or time of day",38.9353198030646,7935.31427329279,3509.62726246787,0,0,-3927.60964051129,1
"Grey gurnard","saturated",38.4807109942889,892.686559663943,0,1,0.634701929362866,-404.874981419729,0.634701929362866
"Grey gurnard","no interaction",37.9165629741494,895.704105908958,3.0175462450145,0.221181173767259,0.140384117728823,-407.036982184894,0.775086047091688
"Grey gurnard","no time of day",37.8932057710223,895.720570574602,3.03401091065814,0.219367811074644,0.139233172929185,-407.072228640033,0.914319220020874
"Grey gurnard","no lights",36.5797476031408,896.691613577173,4.00505391322952,0.134993728576082,0.0856807799791263,-409.072871217575,1
"Grey gurnard","no length",16.9864478209366,1229.97582124165,337.28926157771,5.73544930967532e-74,3.64030074261384e-74,-597.425013657905,1
"Grey gurnard","no length or time of day",14.9869093740552,1235.32759617509,342.641036511149,3.94861039774782e-75,2.50619063775281e-75,-602.226534453075,1
"Grey gurnard","no length or lights",14.9861708217522,1237.21833847958,344.53177881564,1.53417467699577e-75,9.73743627468865e-76,-603.172687780268,1
"Megrim","no lights",38.4116114477947,1454.4993789202,0,1,0.47658344886675,-687.099181048631,0.47658344886675
"Megrim","saturated",41.110006800482,1454.99820586317,0.498826942972983,0.779257705923061,0.371381325044804,-684.394439343377,0.847964773911554
"Megrim","no time of day",38.8579468770452,1457.07373338412,2.5743544639181,0.276048906372958,0.131560339855119,-687.898982876192,0.979525113766673
"Megrim","no interaction",43.2505333559177,1460.79430310006,6.29492417985921,0.0429610198331834,0.0204745109989314,-684.935979617174,0.999999624765605
"Megrim","no length or time of day",11.9847998762477,1483.78341545727,29.2840365370689,4.37574758780308e-07,2.08540887676556e-07,-729.733421128942,0.999999833306493
"Megrim","no length or lights",11.9846950226503,1485.08267027188,30.5832913516783,2.28519183556854e-07,1.08908460631739e-07,-730.383156328849,0.999999942214953
"Megrim","no length",13.9845171949179,1486.35022563827,31.8508467180702,1.21248538715168e-07,5.77850467509285e-08,-728.956464212644,1
"Whiting","no interaction",55.4230864125938,1857.995691347,0,1,0.418694024521933,-870.136741488912,0.418694024521933
"Whiting","no lights",54.0781412264825,1858.3777622535,0.382070906495528,0.826103299587051,0.34588451517495,-871.840949554311,0.764578539696884
"Whiting","saturated",58.6855095861414,1860.21010164788,2.21441030087476,0.330481317116205,0.138370552692693,-867.554796072605,0.902949092389577
"Whiting","no time of day",55.9728123013216,1860.91950082673,2.92380947972333,0.23179434605315,0.0970509076104232,-870.978870837075,1
"Whiting","no length or lights",14.9854519899602,1949.23457765881,91.2388863118051,1.54073365753344e-20,6.45095975789076e-21,-959.379683623648,1
"Whiting","no length or time of day",14.985442934823,1949.4140753463,91.4183839992977,1.40847824151608e-20,5.89721423391941e-21,-959.469441820137,1
"Whiting","no length",16.9854474554646,1953.24738526413,95.2516939171246,2.07184599378846e-21,8.67469537328935e-22,-959.316002367248,1
